original_path,degraded_path,degradation,restored_path,corrected_path,psnr,ssim,niqe
originals/1 (986).jpg,degraded/1 (986)_x4.png,downs_up_x4,results/restored_paired/restored_1 (986)_x4_20251124_191558.png,results/restored_paired/corrected_1 (986)_x4_20251124_191558.png,22.80581067,0.648503205,3.671212781
originals/1 (986).jpg,degraded/1 (986)_jpg30.png,jpeg_30,results/restored_paired/restored_1 (986)_jpg30_20251124_191558.png,results/restored_paired/corrected_1 (986)_jpg30_20251124_191558.png,25.09262756,0.809557674,3.48412764
originals/1 (986).jpg,degraded/1 (986)_jpg10.png,jpeg_10,results/restored_paired/restored_1 (986)_jpg10_20251124_191559.png,results/restored_paired/corrected_1 (986)_jpg10_20251124_191559.png,24.33070146,0.742492049,3.869291289
originals/1 (987).jpg,degraded/1 (987)_gauss10.png,gauss_10,results/restored_paired/restored_1 (987)_gauss10_20251124_191600.png,results/restored_paired/corrected_1 (987)_gauss10_20251124_191600.png,28.47979172,0.68755476,4.31141875
originals/1 (987).jpg,degraded/1 (987)_gauss25.png,gauss_25,results/restored_paired/restored_1 (987)_gauss25_20251124_191601.png,results/restored_paired/corrected_1 (987)_gauss25_20251124_191601.png,22.47524323,0.43486526,4.358338276
originals/1 (987).jpg,degraded/1 (987)_blur3.png,blur_3,results/restored_paired/restored_1 (987)_blur3_20251124_191603.png,results/restored_paired/corrected_1 (987)_blur3_20251124_191603.png,33.10417201,0.94571461,4.667870162
originals/1 (987).jpg,degraded/1 (987)_blur7.png,blur_7,results/restored_paired/restored_1 (987)_blur7_20251124_191604.png,results/restored_paired/corrected_1 (987)_blur7_20251124_191604.png,32.44882145,0.93411618,4.833680697
originals/1 (987).jpg,degraded/1 (987)_x2.png,downs_up_x2,results/restored_paired/restored_1 (987)_x2_20251124_191606.png,results/restored_paired/corrected_1 (987)_x2_20251124_191606.png,32.88584194,0.941377879,4.764885174
originals/1 (987).jpg,degraded/1 (987)_x4.png,downs_up_x4,results/restored_paired/restored_1 (987)_x4_20251124_191607.png,results/restored_paired/corrected_1 (987)_x4_20251124_191607.png,31.61660816,0.922445259,4.680768044
originals/1 (987).jpg,degraded/1 (987)_jpg30.png,jpeg_30,results/restored_paired/restored_1 (987)_jpg30_20251124_191609.png,results/restored_paired/corrected_1 (987)_jpg30_20251124_191609.png,33.06613041,0.940287268,4.547127344
originals/1 (987).jpg,degraded/1 (987)_jpg10.png,jpeg_10,results/restored_paired/restored_1 (987)_jpg10_20251124_191610.png,results/restored_paired/corrected_1 (987)_jpg10_20251124_191610.png,31.58170368,0.916958333,4.538112751
originals/1 (988).jpg,degraded/1 (988)_gauss10.png,gauss_10,results/restored_paired/restored_1 (988)_gauss10_20251124_191612.png,results/restored_paired/corrected_1 (988)_gauss10_20251124_191612.png,26.64281898,0.653120054,4.785212326
originals/1 (988).jpg,degraded/1 (988)_gauss25.png,gauss_25,results/restored_paired/restored_1 (988)_gauss25_20251124_191615.png,results/restored_paired/corrected_1 (988)_gauss25_20251124_191615.png,21.96896072,0.401966516,5.438344777
originals/1 (988).jpg,degraded/1 (988)_blur3.png,blur_3,results/restored_paired/restored_1 (988)_blur3_20251124_191619.png,results/restored_paired/corrected_1 (988)_blur3_20251124_191619.png,28.59913927,0.826859612,5.771274285
originals/1 (988).jpg,degraded/1 (988)_blur7.png,blur_7,results/restored_paired/restored_1 (988)_blur7_20251124_191622.png,results/restored_paired/corrected_1 (988)_blur7_20251124_191622.png,28.20811959,0.770431655,7.202302642
originals/1 (988).jpg,degraded/1 (988)_x2.png,downs_up_x2,results/restored_paired/restored_1 (988)_x2_20251124_191625.png,results/restored_paired/corrected_1 (988)_x2_20251124_191625.png,28.35697273,0.794196311,5.784929864
originals/1 (988).jpg,degraded/1 (988)_x4.png,downs_up_x4,results/restored_paired/restored_1 (988)_x4_20251124_191629.png,results/restored_paired/corrected_1 (988)_x4_20251124_191629.png,27.74927017,0.739746271,7.744136094
originals/1 (988).jpg,degraded/1 (988)_jpg30.png,jpeg_30,results/restored_paired/restored_1 (988)_jpg30_20251124_191633.png,results/restored_paired/corrected_1 (988)_jpg30_20251124_191633.png,28.23455706,0.764738811,5.6085902
originals/1 (988).jpg,degraded/1 (988)_jpg10.png,jpeg_10,results/restored_paired/restored_1 (988)_jpg10_20251124_191635.png,results/restored_paired/corrected_1 (988)_jpg10_20251124_191635.png,27.68312946,0.720359466,6.998409737
